Coords,Lat,Long,Seed,xxhashShuffleBreakThroughTech,SiteName,Locales,TerrainType,Topography,Rating,Altitude,Temperature,Difficulty,MetalsBars,ConcreteBars,WaterBars,DustDevilsBars,DustStormBars,MeteorBars,ColdWaveBars,Metals,Concrete,Water,DustDevils,DustStorm,Meteor,ColdWave,MapTemplateID
70N153W,-70.0,-153.0,-9025956152796037174,-4794742501518449932,,0,36,Very Flat,0,-4276,-86,245,1,1,1,1,2,1,4,0,36,0,34,96,36,220,BlankBigTerraceCMix_15
70N152W,-70.0,-152.0,6560327576805565159,454478993139000844,,0,36,Very Flat,0,-4392,-86,245,1,1,1,1,2,1,4,0,36,0,33,121,36,219,BlankBig_02
70N151W,-70.0,-151.0,-5939216521226877575,-2224055994320652671,,0,36,Very Flat,40,-4161,-86,245,1,1,1,1,2,1,4,0,36,0,35,102,36,219,BlankBigCanyonCMix_09
70N150W,-70.0,-150.0,-1902673826862679540,-4417090494552068915,,0,36,Very Flat,0,-4161,-86,245,1,1,1,1,2,1,4,0,36,0,35,106,36,219,BlankBig_02
70N149W,-70.0,-149.0,7419688141962817064,-3210431659739473729,,0,36,Very Flat,40,-4276,-86,245,1,1,1,1,2,1,4,1,36,0,34,119,36,219,BlankBigTerraceCMix_16
70N148W,-70.0,-148.0,4542672428242473102,5257364441937899126,,0,36,Very Flat,0,-4276,-86,245,1,1,1,1,2,1,4,5,36,0,34,122,36,219,BlankBigTerraceCMix_15
70N147W,-70.0,-147.0,-8772539077200677717,-5625473898888534062,,0,36,Very Flat,0,-4276,-86,245,1,1,1,1,2,1,4,7,36,0,34,124,36,219,BlankBig_03
70N146W,-70.0,-146.0,3539210496179096733,-6747650592583568491,,0,36,Very Flat,40,-4161,-86,245,1,1,1,1,2,1,4,6,36,0,35,124,36,219,BlankBigTerraceCMix_11
70N145W,-70.0,-145.0,-4703502541077834219,5927832107359724892,,0,36,Very Flat,40,-4161,-86,245,1,1,1,1,2,1,4,5,36,0,35,123,36,219,BlankBigCliffsCMix_02
70N144W,-70.0,-144.0,-8654834852696926523,8391929845262782183,,0,36,Very Flat,40,-4161,-86,245,1,1,1,1,2,1,4,6,36,0,35,123,36,219,BlankBigTerraceCMix_08
70N143W,-70.0,-143.0,-4546084971272474116,-306333203310835276,,0,36,Very Flat,40,-4161,-86,245,1,1,1,1,2,1,4,6,36,0,35,123,36,219,BlankBigTerraceCMix_04
70N142W,-70.0,-142.0,5318491835051725621,-64498428762329282,,0,36,Very Flat,40,-4276,-86,245,1,1,1,1,2,1,4,5,42,0,34,123,36,219,BlankBigTerraceCMix_16
70N141W,-70.0,-141.0,-1242621032160400155,5998163795157428254,,0,36,Very Flat,40,-4161,-86,245,1,1,1,1,2,1,4,12,60,0,35,123,36,219,BlankBigCanyonCMix_09
70N140W,-70.0,-140.0,4851231180104877742,601099842343554513,,0,36,Very Flat,40,-4161,-86,240,1,2,1,1,2,1,4,24,66,0,35,123,36,219,BlankBigTerraceCMix_11
70N139W,-70.0,-139.0,2770172381551776658,-3202014385922299008,,0,36,Very Flat,40,-4045,-86,240,1,2,1,1,2,1,4,31,73,0,36,123,36,219,BlankBigCliffsCMix_02
70N138W,-70.0,-138.0,4237247613173908010,-3843054212903799544,,0,36,Very Flat,40,-4045,-86,240,1,2,1,1,2,1,4,29,73,0,36,123,36,219,BlankBigCliffsCMix_02
70N137W,-70.0,-137.0,-2772442442497388350,-1286851090550184510,,0,36,Very Flat,40,-4045,-86,245,1,1,1,1,2,1,4,30,42,0,36,123,36,219,BlankBigCliffsCMix_01
70N136W,-70.0,-136.0,-6848797662368831223,2548926733267551590,,0,36,Very Flat,0,-4045,-86,245,1,1,1,1,2,1,4,29,36,0,36,123,36,219,BlankBig_01
70N135W,-70.0,-135.0,-5438291177647969117,3220301903312803012,,0,36,Very Flat,40,-4045,-86,245,1,1,1,1,2,1,4,30,36,0,36,123,36,219,BlankBigTerraceCMix_04
70N134W,-70.0,-134.0,3345630308954663547,-3653026707392492544,,0,36,Very Flat,0,-4161,-86,245,1,1,1,1,2,1,4,30,36,0,35,123,36,219,BlankBig_02
70N133W,-70.0,-133.0,-6152041767864476312,-5041857366324587010,,0,36,Very Flat,0,-4161,-86,245,1,1,1,1,2,1,4,35,36,0,35,123,36,219,BlankBig_04
70N132W,-70.0,-132.0,-3180458323869822667,-2407707468680707218,,0,36,Very Flat,40,-4045,-86,245,1,1,1,1,2,1,4,36,36,0,36,123,36,219,BlankBigTerraceCMix_14
70N131W,-70.0,-131.0,-8032971381217767783,9138690802501080445,,0,36,Very Flat,0,-4045,-86,245,1,1,1,1,2,1,4,36,36,0,36,123,36,219,BlankBig_03
70N130W,-70.0,-130.0,-9005730333229626412,8038271873133060355,,0,36,Very Flat,40,-4045,-86,245,1,1,1,1,2,1,4,36,36,0,36,123,36,219,BlankBigTerraceCMix_17
70N129W,-70.0,-129.0,-4452101672036157299,-2552771557508746541,,0,36,Very Flat,40,-4045,-86,245,1,1,1,1,2,1,4,36,36,0,36,123,36,219,BlankBigTerraceCMix_14
70N128W,-70.0,-128.0,5195571366223401709,-9040560494920721850,,0,36,Very Flat,40,-4045,-86,245,1,1,1,1,2,1,4,36,36,0,36,123,36,219,BlankBigTerraceCMix_04
70N127W,-70.0,-127.0,6618615467658590888,5184408297713564306,,0,36,Very Flat,40,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankTerraceBig_05
70N126W,-70.0,-126.0,5560704358127716428,7774216235250543749,,0,36,Very Flat,0,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBig_01
70N125W,-70.0,-125.0,45982295497824591,-1920971247453819993,,0,36,Very Flat,40,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBigTerraceCMix_04
70N124W,-70.0,-124.0,1118492516977018523,-8567021512169260878,,0,36,Very Flat,0,-3584,-86,245,1,1,1,1,2,1,4,36,36,0,40,123,36,219,BlankBig_02
70N123W,-70.0,-123.0,-2562226575065576802,-7530018162132711492,,0,36,Very Flat,0,-3584,-86,245,1,1,1,1,2,1,4,36,36,0,40,123,36,219,BlankBig_02
70N122W,-70.0,-122.0,2758027951577757651,-1469786860115898388,,0,36,Very Flat,40,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBigHeartCMix_03
70N121W,-70.0,-121.0,202756818414667436,9134948540419010484,,0,36,Very Flat,40,-3815,-86,245,1,1,1,1,2,1,4,36,36,0,38,123,36,219,BlankBigTerraceCMix_17
70N120W,-70.0,-120.0,-6886487497035099803,1707049764876010555,,0,36,Very Flat,0,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBig_02
70N119W,-70.0,-119.0,-4529501900886764077,-5681375359303022296,,0,36,Very Flat,0,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBig_02
70N118W,-70.0,-118.0,-7380740494698722190,6189792161448073332,,0,36,Very Flat,40,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBigTerraceCMix_14
70N117W,-70.0,-117.0,-5522708198622706809,-6296580387043088238,,0,36,Very Flat,0,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBigCanyonCMix_07
70N116W,-70.0,-116.0,-1352268822741852760,-3740407692711316057,,0,36,Very Flat,0,-3815,-86,245,1,1,1,1,2,1,4,36,36,0,38,123,36,219,BlankBig_01
70N115W,-70.0,-115.0,-3321084692125934989,2554232218142401121,,0,36,Very Flat,0,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBig_02
70N114W,-70.0,-114.0,-7791405806283916210,1918500143890474813,,0,36,Very Flat,40,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBigCanyonCMix_09
70N113W,-70.0,-113.0,5043771997564325146,-5925355446519547792,,0,36,Very Flat,40,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBigTerraceCMix_03
70N112W,-70.0,-112.0,3998402406354620782,-5345326475676411015,,0,36,Very Flat,40,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBigTerraceCMix_11
70N111W,-70.0,-111.0,-7864939816168040758,2293319317831853533,,0,36,Very Flat,0,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBig_01
70N110W,-70.0,-110.0,921720091228555055,-3108536994956614804,,0,36,Steep,120,-3815,-86,245,1,1,1,1,2,1,4,36,36,0,38,123,36,219,BlankBigTerraceCMix_10
70N109W,-70.0,-109.0,-5396600935505841562,3479860422149584349,,0,36,Very Flat,40,-3699,-86,245,1,1,1,1,2,1,4,36,36,0,39,123,36,219,BlankBigTerraceCMix_14
70N108W,-70.0,-108.0,3262269608373811512,2346639654999105289,,0,36,Very Flat,40,-3699,-86,245,1,1,1,1,2,1,4,36,36,0,39,123,36,219,BlankBigHeartCMix_03
70N107W,-70.0,-107.0,-3600397462844554612,8752789413010663515,,0,36,Very Flat,0,-3699,-86,245,1,1,1,1,2,1,4,36,36,0,39,123,36,219,BlankBig_02
70N106W,-70.0,-106.0,7724927476121465735,-762399171339901992,,0,36,Steep,120,-3699,-86,245,1,1,1,1,2,1,4,36,36,0,39,123,36,219,BlankBigTerraceCMix_10
70N105W,-70.0,-105.0,-2333161255452271429,-3548759207585682491,,0,36,Very Flat,0,-3699,-86,245,1,1,1,1,2,1,4,36,36,0,39,123,36,219,BlankBig_02
70N104W,-70.0,-104.0,5313409321048091358,5109845923001387574,,0,36,Steep,120,-3699,-86,245,1,1,1,1,2,1,4,36,36,0,39,123,36,219,BlankBigTerraceCMix_10
70N103W,-70.0,-103.0,5115785557108993987,-8858395535576974302,,0,36,Very Flat,40,-3699,-86,245,1,1,1,1,2,1,4,36,36,0,39,123,36,219,BlankBigCliffsCMix_02
70N102W,-70.0,-102.0,7050067276781408881,5523078374560323906,,0,36,Very Flat,0,-3699,-86,245,1,1,1,1,2,1,4,36,36,0,39,123,36,219,BlankBig_02
70N101W,-70.0,-101.0,-771916886104830605,7161622850384542729,,0,36,Very Flat,0,-3815,-86,245,1,1,1,1,2,1,4,36,36,0,38,123,36,219,BlankBig_02
70N100W,-70.0,-100.0,8230115930212292060,-7996509161677233092,,0,36,Very Flat,0,-3815,-86,245,1,1,1,1,2,1,4,36,36,0,38,122,36,219,BlankBig_03
70N99W,-70.0,-99.0,-4561889668132275573,1821380286607354414,,0,36,Very Flat,40,-3815,-86,245,1,1,1,1,2,1,4,36,36,0,38,124,36,219,BlankBigTerraceCMix_14
70N98W,-70.0,-98.0,-3165158111154664003,4227397930987008710,,0,36,Very Flat,40,-3815,-86,245,1,1,1,1,2,1,4,36,36,0,38,123,36,219,BlankBigCanyonCMix_09
70N97W,-70.0,-97.0,-1888884159836570732,8608347651749937544,,0,36,Very Flat,40,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBigTerraceCMix_06
70N96W,-70.0,-96.0,8543219575275324900,-8495756058104444956,,0,36,Very Flat,40,-3930,-86,245,1,1,1,1,2,1,4,36,36,0,37,123,36,219,BlankBigTerraceCMix_04
70N95W,-70.0,-95.0,-2362054179128568286,5855104049359323184,,0,36,Very Flat,40,-3815,-86,235,1,1,1,1,2,1,4,36,36,0,38,73,36,219,BlankBigCliffsCMix_02
70N94W,-70.0,-94.0,4341999406302909304,74133120295846423,,0,36,Very Flat,40,-4161,-86,235,1,1,1,1,2,1,4,36,36,5,35,73,36,219,BlankBigCliffsCMix_02
70N93W,-70.0,-93.0,-662720258124560565,3141581272453210708,,0,36,Very Flat,40,-4161,-86,235,1,1,1,1,2,1,4,36,36,6,35,73,36,219,BlankBigCliffsCMix_02
70N92W,-70.0,-92.0,-5982958763768977846,4185835430134098135,,0,36,Very Flat,40,-3930,-86,235,1,1,1,1,2,1,4,36,36,6,37,74,36,219,BlankBigCliffsCMix_02
70N91W,-70.0,-91.0,5964597495749516097,-8571178911453332443,,0,36,Very Flat,40,-4045,-86,235,1,1,1,1,2,1,4,36,36,11,36,72,36,219,BlankBigTerraceCMix_16
70N90W,-70.0,-90.0,-1578410619083793083,4834796512789119810,,0,36,Very Flat,40,-4045,-86,235,1,1,1,1,2,1,4,36,36,24,36,73,36,219,BlankBigCliffsCMix_01
70N89W,-70.0,-89.0,-3586432363107898229,351689785533653351,,0,36,Very Flat,0,-4161,-86,235,1,1,1,1,2,1,4,36,36,31,35,73,36,219,BlankBig_01
70N88W,-70.0,-88.0,-5697472794451848989,1572797365221219128,,0,36,Very Flat,0,-4161,-86,235,1,1,1,1,2,1,4,36,36,36,35,73,36,219,BlankBig_04
70N87W,-70.0,-87.0,4904821512665122714,-2360230830552681891,,0,36,Steep,120,-4161,-86,235,1,1,1,1,2,1,4,36,36,36,35,73,36,219,BlankBigTerraceCMix_10
70N86W,-70.0,-86.0,-2567768219329195802,-8800716755955654062,,0,36,Very Flat,0,-4161,-86,235,1,1,1,1,2,1,4,36,36,36,35,73,36,219,BlankBig_02
70N85W,-70.0,-85.0,3684672483147971295,-8458024541278011443,,0,36,Very Flat,40,-4276,-86,235,1,1,1,1,2,1,4,36,36,35,34,73,36,219,BlankBigTerraceCMix_11
70N84W,-70.0,-84.0,-8472645697756075546,-3606511894153581714,,0,36,Very Flat,0,-4276,-86,235,1,1,1,1,2,1,4,36,36,36,34,73,36,219,BlankBig_04
70N83W,-70.0,-83.0,5040323270156010821,4677927237606592045,,0,36,Very Flat,40,-4276,-86,235,1,1,1,1,2,1,4,36,36,36,34,73,36,219,BlankBigTerraceCMix_11
70N82W,-70.0,-82.0,-2233795319877506302,7744285341429465420,,0,36,Very Flat,0,-4392,-86,235,1,1,1,1,2,1,4,36,36,36,33,73,36,219,BlankBig_03
70N81W,-70.0,-81.0,1407065705610541817,8671292285827576586,,0,36,Very Flat,40,-4392,-86,235,1,1,1,1,2,1,4,37,36,36,33,73,36,219,BlankBigCliffsCMix_02
70N80W,-70.0,-80.0,-8137548860859465768,-8332269864000201298,,0,36,Very Flat,40,-4507,-86,235,1,1,1,1,2,1,4,36,36,36,32,73,36,219,BlankBigTerraceCMix_11
70N79W,-70.0,-79.0,2351071058373659894,4928308019200078966,,0,36,Very Flat,0,-4507,-86,235,1,1,1,1,2,1,4,41,36,36,32,73,36,219,BlankBigCanyonCMix_07
70N78W,-70.0,-78.0,546754013700702418,-4087026794566067294,,0,37,Very Flat,40,-4507,-86,235,1,1,1,1,2,1,4,48,36,36,32,73,36,219,BlankTerraceBig_05
70N77W,-70.0,-77.0,-2072248178360192766,2807762631698716898,,0,36,Very Flat,0,-4507,-86,230,2,1,1,1,2,1,4,66,36,36,32,73,36,219,BlankBig_03
70N76W,-70.0,-76.0,-9190542459152280163,2801470129187374765,,0,36,Very Flat,0,-4507,-86,230,2,1,1,1,2,1,4,73,36,36,32,73,36,219,BlankBig_04
70N75W,-70.0,-75.0,8651644537949702132,-3094467293725858581,,0,36,Very Flat,0,-4507,-86,230,2,1,1,1,2,1,4,73,36,36,32,73,36,219,BlankBig_01
70N74W,-70.0,-74.0,-2622327402573320188,7996055271629845157,,0,36,Very Flat,40,-4507,-86,230,2,1,1,1,2,1,4,73,36,36,32,73,36,219,BlankBigTerraceCMix_03
70N73W,-70.0,-73.0,-7903249574291565076,3027117580780186184,,0,36,Very Flat,40,-4392,-86,230,2,1,1,1,2,1,4,73,36,37,33,73,36,219,BlankBigCliffsCMix_02
70N72W,-70.0,-72.0,1841725709893350019,-2599642048312756040,,0,36,Very Flat,0,-4622,-86,230,2,1,1,1,2,1,4,73,36,36,31,73,36,219,BlankBigTerraceCMix_15
70N71W,-70.0,-71.0,3280158438661750634,7932052248328648823,,0,36,Very Flat,0,-4622,-86,230,2,1,1,1,2,1,4,73,36,36,31,73,36,219,BlankBig_04
70N70W,-70.0,-70.0,909813249588415514,-6504176107504212643,,0,36,Very Flat,40,-4622,-86,230,2,1,1,1,2,1,4,73,36,36,31,73,36,219,BlankBigTerraceCMix_11
70N69W,-70.0,-69.0,-1670484071164491342,-7839367009244985811,,0,36,Very Flat,40,-4622,-86,230,2,1,1,1,2,1,4,73,36,36,31,73,36,219,BlankBigTerraceCMix_17
70N68W,-70.0,-68.0,-4070293857490925804,-1236701456912807247,,0,36,Very Flat,40,-4622,-86,230,2,1,1,1,2,1,4,73,35,36,31,73,36,220,BlankTerraceBig_05
70N67W,-70.0,-67.0,-6294209716434723763,93285924638238821,,0,36,Very Flat,0,-4738,-86,230,2,1,1,1,2,1,4,73,36,42,30,73,36,219,BlankBigTerraceCMix_15
70N66W,-70.0,-66.0,7964589300263928240,5136968437843307879,,0,36,Very Flat,40,-4738,-86,225,2,1,2,1,2,1,4,73,36,67,30,73,36,219,BlankBigTerraceCMix_08
70N65W,-70.0,-65.0,-2098914343227040109,1756303781452014118,,0,36,Very Flat,40,-4738,-86,225,2,1,2,1,2,1,4,73,36,73,30,73,36,220,BlankBigTerraceCMix_03
70N64W,-70.0,-64.0,-70361822278490377,5735913551851028807,,0,36,Very Flat,40,-4738,-86,225,2,1,2,1,2,1,4,73,36,73,30,73,36,219,BlankBigTerraceCMix_06
70N63W,-70.0,-63.0,4073003896789068025,-7529869872254791618,,0,31,Very Flat,0,-4853,-86,225,2,1,2,1,2,1,4,73,35,74,29,73,36,219,BlankBig_04
70N62W,-70.0,-62.0,2382595804078495465,6178931086653434172,,0,30,Very Flat,40,-4853,-86,225,2,1,2,1,2,1,4,73,36,73,29,73,36,219,BlankBigTerraceCMix_04
70N61W,-70.0,-61.0,-2434841134586537777,-1258828327267655567,,0,30,Very Flat,40,-4853,-86,225,2,1,2,1,2,1,4,73,42,73,29,73,36,219,BlankBigTerraceCMix_04
70N60W,-70.0,-60.0,8384585625008038867,-2576383527070270360,,0,30,Very Flat,0,-4853,-90,225,2,1,2,1,2,1,4,73,41,73,29,73,36,230,BlankBigTerraceCMix_15
70N59W,-70.0,-59.0,-8423352840944277472,-4868377765333958269,,0,30,Very Flat,0,-4853,-96,225,2,1,2,1,2,1,4,73,48,74,29,73,36,244,BlankBig_01
70N58W,-70.0,-58.0,6382612756358359596,8167792758786826181,,0,30,Very Flat,0,-4853,-100,220,2,2,2,1,2,1,4,73,66,66,29,73,36,255,BlankBig_02
70N57W,-70.0,-57.0,8046924431471157284,5383661462431430561,,0,30,Very Flat,40,-4853,-100,225,2,1,2,1,2,1,4,73,60,65,29,73,36,255,BlankBigCliffsCMix_01
70N56W,-70.0,-56.0,157291350964304168,9216257955167470373,,0,24,Very Flat,40,-4853,-100,225,2,1,2,1,2,1,4,73,42,73,29,73,36,254,BlankTerraceBig_05
70N55W,-70.0,-55.0,-4545398775830991482,413589878149469920,,0,12,Very Flat,0,-4853,-100,225,2,1,2,1,2,1,4,73,35,73,29,73,36,255,BlankBig_01
70N54W,-70.0,-54.0,-1915432119236599166,-2199179270534823185,,0,6,Very Flat,40,-4853,-100,225,2,1,2,1,2,1,4,73,36,73,29,73,36,255,BlankBigCanyonCMix_09
70N53W,-70.0,-53.0,5636455604198569320,4360482614945174346,,0,0,Very Flat,0,-4853,-100,225,2,1,2,1,2,1,4,73,35,73,29,73,36,255,BlankBig_04
70N52W,-70.0,-52.0,7602326697884066945,119357132901075493,,0,0,Very Flat,0,-4853,-100,225,2,1,2,1,2,1,4,73,36,74,29,73,36,255,BlankBigCanyonCMix_07
70N51W,-70.0,-51.0,7124472451557553429,7398883918005864017,,0,0,Very Flat,0,-4853,-100,225,2,1,2,1,2,1,4,73,36,73,29,73,36,255,BlankBig_01
70N50W,-70.0,-50.0,-2567222037506031565,6448473084737260583,,0,0,Very Flat,40,-4853,-100,225,2,1,2,1,2,1,4,73,36,73,29,73,36,255,BlankBigCliffsCMix_01
70N49W,-70.0,-49.0,-1598536596634396669,3897118177201950237,,0,0,Very Flat,0,-4853,-100,225,2,1,2,1,2,1,4,73,36,73,29,73,35,255,BlankBig_03
70N48W,-70.0,-48.0,-6857692432586796186,-5507362106078860773,,0,0,Very Flat,40,-4853,-100,220,2,2,2,1,2,1,4,73,65,73,29,72,36,255,BlankBigTerraceCMix_06
70N47W,-70.0,-47.0,-3533950705053720141,6369966278798006946,,0,0,Very Flat,0,-4853,-100,210,2,2,2,1,1,1,4,73,73,73,29,60,37,255,BlankBig_01
70N46W,-70.0,-46.0,5395619218620650646,3689270341246977099,,0,0,Very Flat,40,-4853,-100,210,2,2,2,1,1,1,4,73,73,73,29,48,36,255,BlankBigTerraceCMix_16
70N45W,-70.0,-45.0,3069814612895294246,604995321719453010,,0,0,Very Flat,0,-4853,-100,220,2,2,2,1,2,1,4,73,74,73,29,66,36,255,BlankBig_02
70N44W,-70.0,-44.0,-3636769483645001498,-3996674290931774373,,0,0,Very Flat,0,-4853,-100,220,2,2,2,1,2,1,4,73,73,73,29,73,36,255,BlankBig_04
70N43W,-70.0,-43.0,3967698361740239580,2196815327430763065,,0,0,Very Flat,0,-4853,-100,220,2,2,2,1,2,1,4,73,73,73,29,73,36,255,BlankBigTerraceCMix_15
70N42W,-70.0,-42.0,7197715085974871296,-9030125931906780256,,0,0,Very Flat,40,-4969,-100,220,2,2,2,1,2,1,4,73,73,73,28,73,36,255,BlankBigTerraceCMix_06
70N41W,-70.0,-41.0,-6984211987666792072,-3068068020892245338,,0,0,Very Flat,40,-4969,-100,220,2,2,2,1,2,1,4,73,73,73,28,73,35,255,BlankBigTerraceCMix_06
70N40W,-70.0,-40.0,-5930134335788767985,3991389593960064731,,0,0,Very Flat,0,-4969,-100,220,2,2,2,1,2,1,4,73,79,73,28,73,36,255,BlankBigCanyonCMix_07
70N39W,-70.0,-39.0,8253181445110033864,1203664044960049259,,0,0,Very Flat,0,-4853,-100,215,2,2,2,1,2,1,4,73,109,73,29,73,35,255,BlankBig_02
70N38W,-70.0,-38.0,1949320906644820078,-3714594611589258721,,0,0,Very Flat,40,-4853,-100,215,2,2,2,1,2,1,4,73,109,73,29,73,30,255,BlankBigCliffsCMix_01
70N37W,-70.0,-37.0,2360706705144403777,6296491481793138121,,0,0,Very Flat,40,-4969,-100,215,2,2,2,1,2,1,4,73,109,73,28,73,30,255,BlankBigTerraceCMix_17
